city_id,state,city_name,walk_score
1,NY,New_York_City,100
2,CA,Los_Angeles,68
3,IL,Chicago,77
4,TX,Houston,48
5,AZ,Phoenix,41
6,PA,Philadelphia,79
7,TX,San_Antonio,35
8,CA,San_Diego,51
9,TX,Dallas,46
10,TX,Austin,41
11,CA,San_Jose,49
12,TX,Fort_Worth,35
13,FL,Jacksonville,26
14,OH,Columbus,40
15,NC,Charlotte,26
16,IN,Indianapolis,31
17,CA,San_Francisco,87
18,WA,Seattle,74
19,CO,Denver,61
20,DC,Washington,54
21,MA,Boston,82
22,TX,El_Paso,41
23,TN,Nashville,96
24,OK,Oklahoma_City,34
25,NV,Las_Vegas,41
26,MI,Detroit,53
27,OR,Portland,67
28,TN,Memphis,36
29,KY,Louisville,91
30,WI,Milwaukee,63
31,MD,Baltimore,65
32,NM,Albuquerque,42
33,AZ,Tucson,42
34,AZ,Mesa,37
35,CA,Fresno,45
36,CA,Sacramento,45
37,GA,Atlanta,48
38,MO,Kansas_City,35
39,CO,Colorado_Springs,35
40,NC,Raleigh,31
41,NE,Omaha,47
42,FL,Miami,78
43,CA,Long_Beach,72
44,VA,Virginia_Beach,32
45,CA,Oakland,74
46,MN,Minneapolis,70
47,FL,Tampa,49
48,OK,Tulsa,39
49,TX,Arlington,38
50,KS,Wichita,35
51,CA,Bakersfield,34
52,CO,Aurora,43
53,LA,New_Orleans,59
54,OH,Cleveland,60
55,CA,Anaheim,55
56,NV,Henderson,29
57,HI,Honolulu,65
58,CA,Riverside,42
59,CA,Santa_Ana,66
60,TX,Corpus_Christi,41
61,KY,Lexington,90
62,PR,San_Juan,83
63,CA,Stockton,43
64,MN,St_Paul,85
65,OH,Cincinnati,50
66,NC,Greensboro,29
67,PA,Pittsburgh,63
68,CA,Irvine,43
69,MO,St_Louis,86
70,NE,Lincoln,43
71,FL,Orlando,41
72,NC,Durham,29
73,TX,Plano,39
74,AK,Anchorage,28
75,NJ,Newark,79
76,CA,Chula_Vista,43
77,IN,Fort_Wayne,30
78,AZ,Chandler,35
79,OH,Toledo,45
80,FL,St_Petersburg,59
81,NV,Reno,38
82,TX,Laredo,41
83,AZ,Scottsdale,31
84,NV,North_Las_Vegas,33
85,TX,Lubbock,38
86,WI,Madison,48
87,AZ,Gilbert,28
88,NJ,Jersey_City,87
89,AZ,Glendale,40
90,NY,Buffalo,68
91,NC,WinstonSalem,35
92,VA,Chesapeake,21
93,CA,Fremont,48
94,VA,Norfolk,45
95,TX,Irving,44
96,TX,Garland,40
97,NV,Paradise,48
98,VA,Arlington,69
99,VA,Richmond,52
100,FL,Hialeah,69
101,ID,Boise,88
102,WA,Spokane,49
103,TX,Frisco,24
104,CA,Moreno_Valley,32
105,WA,Tacoma,53
106,CA,Fontana,36
107,CA,Modesto,45
108,LA,Baton_Rouge,41
109,FL,Port_St_Lucie,0
110,CA,San_Bernardino,43
111,TX,McKinney,27
112,NC,Fayetteville,21
113,CA,Santa_Clarita,35
114,IA,Des_Moines,45
115,CA,Oxnard,55
116,AL,Birmingham,35
117,NV,Spring_Valley,43
118,AL,Huntsville,24
119,NY,Rochester,65
120,FL,Cape_Coral,17
121,AZ,Tempe,53
122,MI,Grand_Rapids,57
123,NY,Yonkers,70
124,KS,Overland_Park,35
125,UT,Salt_Lake_City,59
126,TX,Amarillo,40
127,GA,Augusta,63
128,GA,Columbus,26
129,FL,Tallahassee,32
130,AL,Montgomery,26
131,CA,Huntington_Beach,55
132,OH,Akron,46
133,AR,Little_Rock,32
134,CA,Glendale,71
135,TX,Grand_Prairie,32
136,IL,Aurora,40
137,NV,Sunrise_Manor,36
138,CA,Ontario,46
139,SD,Sioux_Falls,37
140,TN,Knoxville,31
141,WA,Vancouver,40
142,AL,Mobile,32
143,MA,Worcester,56
144,TN,Chattanooga,29
145,TX,Brownsville,39
146,AZ,Peoria,29
147,FL,Fort_Lauderdale,57
148,LA,Shreveport,31
149,VA,Newport_News,33
150,RI,Providence,78
151,CA,Elk_Grove,32
152,CA,Rancho_Cucamonga,40
153,OR,Salem,42
154,FL,Pembroke_Pines,32
155,CA,Santa_Rosa,44
156,OR,Eugene,45
157,CA,Oceanside,36
158,NC,Cary,27
159,CO,Fort_Collins,37
160,CA,Corona,38
161,NV,Enterprise,24
162,CA,Garden_Grove,61
163,MO,Springfield,38
164,TN,Clarksville,18
165,PR,Bayamon,65
166,CO,Lakewood,42
167,VA,Alexandria,60
168,CA,Hayward,55
169,TN,Murfreesboro,25
170,TX,Killeen,33
171,FL,Hollywood,54
172,CA,Lancaster,29
173,CA,Salinas,47
174,MS,Jackson,28
175,TX,Midland,42
176,GA,Macon_County,3
177,KS,Kansas_City,33
178,CA,Palmdale,24
179,CA,Sunnyvale,59
180,MA,Springfield,59
181,CA,Escondido,44
182,CA,Pomona,52
183,WA,Bellevue,40
184,AZ,Surprise,21
185,IL,Naperville,34
186,TX,Pasadena,43
187,TX,Denton,33
188,CA,Roseville,36
189,IL,Joliet,35
190,CO,Thornton,31
191,TX,McAllen,42
192,NJ,Paterson,78
193,IL,Rockford,42
194,TX,Carrollton,35
195,CT,Bridgeport,67
196,FL,Miramar,28
197,TX,Round_Rock,24
198,LA,Metairie,54
199,KS,Olathe,27
200,TX,Waco,36
